assessment,min,q25,q50,q75,q100,mean,count,avg_completion_time_minutes
Test [M30M-CNE1],0.0,80.0,80.0,100.0,100.0,80.0,23,6.4173913043478255
Test [M30M-CNE2],60.0,100.0,100.0,100.0,100.0,94.73684210526316,19,4.28421052631579
Test [M30M-CNE3],40.0,60.0,80.0,100.0,100.0,78.75,16,5.622916666666667
Test [M30M-CNE4],60.0,80.0,80.0,100.0,100.0,84.61538461538461,13,6.9974358974358974
Test [M30M-CNE5],80.0,80.0,100.0,100.0,100.0,90.9090909090909,11,5.704545454545454
Test [M30M-CNE6],40.0,70.0,100.0,100.0,100.0,81.81818181818181,11,6.3
Test [M30M-CNE7],40.0,80.0,80.0,100.0,100.0,81.81818181818181,11,3.7636363636363637
Test [M30M-CNE8],60.0,100.0,100.0,100.0,100.0,95.0,8,6.952083333333334
Test [M30M-CNE9],60.0,75.0,80.0,85.0,100.0,80.0,4,275.5833333333333
Test [M30M-CNE10],60.0,75.0,90.0,100.0,100.0,85.0,4,3.6958333333333333
Test [M30M-CNE11],80.0,80.0,90.0,100.0,100.0,90.0,4,4.145833333333334
Test [M30M-CNE12],60.0,60.0,60.0,60.0,80.0,63.333333333333336,6,5.172222222222222
Test [M30M-CNR1],80.0,85.0,90.0,95.0,100.0,90.0,2,3.0999999999999996
Test [M30M-CNR2],80.0,85.0,90.0,95.0,100.0,90.0,2,1.9500000000000002
Test [M30M-CNR3],100.0,100.0,100.0,100.0,100.0,100.0,2,90.69166666666666
Test [M30M-CNR4],80.0,85.0,90.0,95.0,100.0,90.0,2,9.708333333333334
Test [M30M-CNR5],60.0,70.0,80.0,90.0,100.0,80.0,2,32.24166666666667
Test [M30M-CNR6],60.0,70.0,80.0,90.0,100.0,80.0,2,11.975
Test [M30M-CNR7],20.0,20.0,20.0,20.0,20.0,20.0,1,75.81666666666666
Test [M30M-CNR8],100.0,100.0,100.0,100.0,100.0,100.0,1,4.3
Test [M30M-CNR9],,,,,,,0,
Test [M30M-POT1],80.0,85.0,90.0,95.0,100.0,90.0,2,5.1
Test [M30M-POT2],,,,,,,0,
Test [M30M-POT3],,,,,,,0,
Test [M30M-POT4],60.0,80.0,80.0,80.0,80.0,76.0,5,10.690000000000001
Test [M30M-POT5],,,,,,,0,
Test [M30M-POT6],60.0,60.0,60.0,80.0,80.0,68.0,5,8.463333333333333
Test [M30M-POT7],80.0,85.0,90.0,95.0,100.0,90.0,2,10.533333333333333
Test [M30M-RAI1],,,,,,,0,
Test [M30M-RAI2],100.0,100.0,100.0,100.0,100.0,100.0,2,6.041666666666667
Test [M30M-RAI3],100.0,100.0,100.0,100.0,100.0,100.0,1,4.283333333333333
Test [M30M-RAI4],,,,,,,0,
Test [M30M-RAI5],100.0,100.0,100.0,100.0,100.0,100.0,1,11.966666666666667
Test [M30M-RAI6],100.0,100.0,100.0,100.0,100.0,100.0,1,8.7
Test [M30M-RAI7],60.0,70.0,80.0,90.0,100.0,80.0,2,13.908333333333333
Test [M30M-EXP1],,,,,,,0,
Test [M30M-EXP2],,,,,,,0,
Test [M30M-EXP3],,,,,,,0,
Test [M30M-EXP4],,,,,,,0,
Test [M30M-EXP5],,,,,,,0,
Test [M30M-EXP6],80.0,80.0,80.0,80.0,80.0,80.0,1,2.433333333333333
Test [M30M-EXP7],,,,,,,0,
Test [M30M-EXP8],,,,,,,0,
Test [M30M-RYP1],,,,,,,0,
Test [M30M-RYP2],,,,,,,0,
Test [M30M-RYP3],60.0,60.0,60.0,60.0,60.0,60.0,1,5.716666666666667
Test [M30M-ECL1],,,,,,,0,
Test [M30M-ECL2],,,,,,,0,
Test [M30M-ECL3],,,,,,,0,
Test [M30M-INL1],0.0,0.0,0.0,0.0,0.0,0.0,1,4.666666666666667
Test [M30M-INL2],,,,,,,0,
Test [M30M-INL3],,,,,,,0,
Test [M30M-SEL1],40.0,50.0,60.0,70.0,80.0,60.0,2,27.35
Test [M30M-SEL2],80.0,80.0,80.0,80.0,80.0,80.0,1,27.816666666666666
Test [M30M-ECC1],80.0,95.0,100.0,100.0,100.0,95.0,4,7.0375
